"id_fiche";"titrePublics - {{listefiche18}}";"listefiche18 *";"textebf_frequentation_gratuit_20081";"textebf_frequentation_payant_20081";"textebf_frequentation_sur_site_20081";"textebf_frequentation_horslesmurs_20081";"textebf_frequentation_individuels_total_20081";"textebf_frequentation_individuels_etrangers_20081";"textebf_frequentation_individuels_nationaux_departement_20081";"textebf_frequentation_individuels_nationaux_hors_departement_20081";"textebf_frequentation_groupes_total_20081";"textebf_frequentation_groupes_scolaires_20081";"textebf_frequentation_groupes_loisirs_20081";"textebf_frequentation_total_20081";"textebf_frequentation_gratuit_20091";"textebf_frequentation_payant_20091";"textebf_frequentation_sur_site_20091";"textebf_frequentation_horslesmurs_20091";"textebf_frequentation_individuels_total_20091";"textebf_frequentation_individuels_etrangers_20091";"textebf_frequentation_individuels_nationaux_departement_20091";"textebf_frequentation_individuels_nationaux_hors_departement_20091";"textebf_frequentation_groupes_total_20091";"textebf_frequentation_groupes_scolaires_20091";"textebf_frequentation_groupes_loisirs_20091";"textebf_frequentation_total_20091";"textebf_frequentation_gratuit_20101";"textebf_frequentation_payant_20101";"textebf_frequentation_sur_site_20101";"textebf_frequentation_horslesmurs_20101";"textebf_frequentation_individuels_total_20101";"textebf_frequentation_individuels_etrangers_20101";"textebf_frequentation_individuels_nationaux_departement_20101";"textebf_frequentation_individuels_nationaux_hors_departement_20101";"textebf_frequentation_groupes_total_20101";"textebf_frequentation_groupes_scolaires_20101";"textebf_frequentation_groupes_loisirs_20101";"textebf_frequentation_total_20101";"textebf_frequentation_gratuit_20111";"textebf_frequentation_payant_20111";"textebf_frequentation_sur_site_20111";"textebf_frequentation_horslesmurs_20111";"textebf_frequentation_individuels_total_20111";"textebf_frequentation_individuels_etrangers_20111";"textebf_frequentation_individuels_nationaux_departement_20111";"textebf_frequentation_individuels_nationaux_hors_departement_20111";"textebf_frequentation_groupes_total_20111";"textebf_frequentation_groupes_scolaires_20111";"textebf_frequentation_groupes_loisirs_20111";"textebf_frequentation_total_20111";"textelongbf_frequentation_publics_commentaires";"checkbox36";"liste26bf_publics_comptage_separe";"textelongbf_publics_commentaires";"liste26bf_publics_enquetes";"liste26bf_consultations_scientifiques_chercheurs_2010";"liste127bf_consultations_scientifiques_chercheurs_nombre_2010";"liste26bf_consultations_scientifiques_etudiants_2010";"liste127bf_consultations_scientifiques_etudiants_nombre_2010";"textebf_consultations_duree_cumulee_20101";"checkbox44bf_types_consultations_botanique_2010";"checkbox128bf_types_consultations_botanique_systematique_2010";"checkbox129bf_types_consultations_botanique_biogeographiefloristique_2010";"checkbox130bf_types_consultations_botanique_prelevement_2010";"checkbox50bf_types_consultations_botanique_autre_2010";"checkbox60bf_types_consultations_zoologie_2010";"checkbox128bf_types_consultations_zoologie_systematique_2010";"checkbox131bf_types_consultations_zoologie_biogeographiefaunistique_2010";"checkbox134bf_types_consultations_zoologie_ecologie_2010";"checkbox130bf_types_consultations_zoologie_prelevement_2010";"checkbox50bf_types_consultations_zoologie_autre_2010";"checkbox54bf_types_consultations_geologie_2010";"checkbox132bf_types_consultations_geologie_systematique_2010";"checkbox133bf_types_consultations_geologie_paleoecologie_2010";"checkbox130bf_types_consultations_geologie_prelevement_2010";"checkbox50bf_types_consultations_geologie_autre_2010";"checkbox57bf_types_consultations_paleontologie_2010";"checkbox132bf_types_consultations_paleontologie_systematique_2010";"checkbox133bf_types_consultations_paleontologie_paleoecologie_2010";"checkbox130bf_types_consultations_paleontologie_prelevement_2010";"checkbox50bf_types_consultations_paleontologie_autre_2010";"checkbox106bf_types_consultations_geologie_2010";"checkbox50bf_types_consultations_autre_2010";"liste26bf_consultations_scientifiques_chercheurs_2011";"liste127bf_consultations_scientifiques_chercheurs_nombre_2011";"liste26bf_consultations_scientifiques_etudiants_2011";"liste127bf_consultations_scientifiques_etudiants_nombre_2011";"textebf_consultations_duree_cumulee_20111";"checkbox44bf_types_consultations_botanique_2011";"checkbox128bf_types_consultations_botanique_systematique_2011";"checkbox129bf_types_consultations_botanique_biogeographiefloristique_2011";"checkbox130bf_types_consultations_botanique_prelevement_2011";"checkbox50bf_types_consultations_botanique_autre_2011";"checkbox60bf_types_consultations_zoologie_2011";"checkbox128bf_types_consultations_zoologie_systematique_2011";"checkbox131bf_types_consultations_zoologie_biogeographiefaunistique_2011";"checkbox134bf_types_consultations_zoologie_ecologie_2011";"checkbox130bf_types_consultations_zoologie_prelevement_2011";"checkbox50bf_types_consultations_zoologie_autre_2011";"checkbox54bf_types_consultations_geologie_2011";"checkbox132bf_types_consultations_geologie_systematique_2011";"checkbox133bf_types_consultations_geologie_paleoecologie_2011";"checkbox130bf_types_consultations_geologie_prelevement_2011";"checkbox50bf_types_consultations_geologie_autre_2011";"checkbox57bf_types_consultations_paleontologie_2011";"checkbox132bf_types_consultations_paleontologie_systematique_2011";"checkbox133bf_types_consultations_paleontologie_paleoecologie_2011";"checkbox130bf_types_consultations_paleontologie_prelevement_2011";"checkbox50bf_types_consultations_paleontologie_autre_2011";"checkbox106bf_types_consultations_geologie_2011";"checkbox50bf_types_consultations_autre_2011"
225;;"LE BLANC - ECOMUSÉE DE LA BRENNE";"1829";"2791";"4620";;"2843";;;;"1777";"1021";;"4620";;;"4394";;"2834";;;;"1560";"897";;"4394";"1687";"2526";"4213";;"3125";;;;"1088";"713";;"4213";"1157";"2185";"3342";;"2349";;;;"993";"491";;"3342";"";"Manuel, Billetterie manuelle";"non";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"1 à 4";"oui";"1 à 4";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Autre (Archéologie, Ethnologie, Histoire locale)"
217;;"LE GRAND-PRESSIGNY - MUSÉE DÉPARTEMENTAL DE LA PRÉHISTOIRE";;;;;;;;;;;;"0";"6275";"3427";"9702";;"9065";;;;"637";"509";;"9702";"8403";"10224";"18627";;"13717";;;;"4910";"2756";;"18627";;;;;;;;;;;;;"";"Automatique, Billetterie informatisée";"";" La billetterie automatique ne permet pas de dénombrer les personnes à l'intérieur d'un groupe, ce décompte est donc effectué manuellement";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
211;;"LE HAVRE - MUSÉUM D\'HISTOIRE NATURELLE";;;"43339";;"38165";;;;"5174";;;"43339";;;"27713";;"22332";;;;"5381";;;"27713";;;"38065";;"28132";;;;"9933";;;"28132";"65355";;"64755";"600";"51233";"1129";"44591";"5513";"14122";"9445";"4677";"65355";"Profil de public très marqué : familial et local (Agglomération du Havre)";"Automatique, Billetterie informatisée";"";"Logiciel de billetterie depuis 2011.
Il n'y a pas d'exposition permanente. ";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"";"oui";"";;"";"";"";"";"";"Zoologie";"";"";"";"";"";"Géologie";"";"";"";"";"Paléontologie";"";"";"";"";"";""
206;;"LE MANS - MUSÉE VERT - MUSÉUM D\'HISTOIRE NATURELLE";"6620";"9931";"16551";"3500";"6620";;;;"9931";"8938";;"16551";"7766";"11650";"19416";"4000";"7766";;;;"11650";"10485";;"19416";"6690";"10036";"16726";"5000";"6690";;;;"10036";"9032";;"16726";"11485";"11485";"22970";"0";"13768";"200";"12192";"1376";"9202";"8702";"500";"22970";"Fréquentation ""Hors les murs"" non prise en compte dans les statistiques";"Manuel, Billetterie manuelle";"non";"Désolé mais à part les chiffres globaux, je ne possède que des estimations (nous travaillons par exemple de septembre à septembre pour les stats du service éducatif)";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"5 à 9";"non";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Paléontologie";"";"";"Avec prélèvement";"";"";""
327;;"LE PRADET - MUSEE DE LA MINE DE CAP GARONNE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5007";"26313";;;"21535";;;;"9785";"3494";;"31320";"";"Automatique, Billetterie informatisée";"oui";"";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"non";"";"non";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
171;;"LILLE - MUSÉUM D\'HISTOIRE NATURELLE";;;"53191";;"35885";;;;"20306";;;"53191";;;"80368";"115";"54613";;;;"25870";;;"80483";;;"57299";"167";"42043";;;;"15423";;;"57466";"36847";"25028";"61679";"196";"27620";;;;"34255";;;"61875";"";"Manuel, Billetterie manuelle, Compteur à main";"non";"Les chiffres de fréquentation sont essentiellement basés sur le comptage des tickets de droit d'entrée délivrés ; Les statistiques ""hors les murs"" concernent des animations récurrentes sur le patrimoine industriel et minier régional, organisées depuis 2009 en partenariat avec le Conseil Général du Nord";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"10 à 19";"oui";"5 à 9";"130";"";"";"";"";"";"Zoologie";"Systématique";"";"";"";"";"Géologie";"";"Paléoécologie-environnement";"Avec prélèvement";"";"Paléontologie";"";"";"Avec prélèvement";"";"";"Autre (Ethnographie;sciences & techniques)"
275;;"LODÈVE - MUSÉE DE LODÈVE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"9947";"32166";;;"35166";"3516";"17935";"13715";"6947";"6905";"42";"42113";"Ces chiffres constituent la fréquentation globale du musée (expositions temporaires Beaux Arts comprises)";"Automatique, Billetterie informatisée";"non";"";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"1 à 4";"oui";"1 à 4";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Paléontologie";"";"";"";"";"";"Autre (archéologie)"
166;;"LYON 6E ARRONDISSEMENT - MUSÉE DES CONFLUENCES";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"59185";;;"59185";;;;;;;;"59185";"Musée fermé depuis juillet 2007, le musée propose une programmation hors les murs, avec un accès gratuit.";"Manuel, Compteur à main, Estimation";"";"";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"20 à 49";"oui";"10 à 19";"170";"";"";"";"";"";"Zoologie";"Systématique";"";"";"";"";"Géologie";"Systématique (types)";"";"";"";"Paléontologie";"";"";"";"";"";"Autre (Ethnologie / Archéologie (égyptologie))"
339;;"MARCIAC - MUSÉE D\'HISTOIRE NATURELLE";"150";"220";"370";;"65";;;;"305";"185";;"370";"135";"127";"262";;"78";;;;"184";"135";;"262";"60";"52";"112";;"52";;;;"60";"60";;;"50";"75";;;"75";;;;"50";"50";;"125";"";"Manuel, Billetterie manuelle";"";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"non";"";"non";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
4;;"MARSEILLE CEDEX 20 - MUSÉUM D\'HISTOIRE NATURELLE";"16416";"6640";"32229";"4500";"23056";;;;"9573";"5474";;"36729";"26773";"11169";"54465";"5450";"37942";;;;"16523";"9599";;"59915";"34563";"13959";"62893";"6345";"48522";;;;"14371";"7988";;"69238";"47027";"11009";"55531";"2505";"44339";;;;"13687";"9558";"4129";"58036";"Fermeture exceptionnelle de 15 jours vacances de Pâques pour traitement général. ";"Manuel, Billetterie manuelle, Compteur à main";"non";"Pas de possibilité de distinguer type de public en 2011 de façon précise. Mise en place en octobre billetterie le permettant dès 2012.";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"10 à 19";"oui";"1 à 4";"18";"";"";"";"";"";"Zoologie";"Systématique";"";"";"Avec prélèvement";"";"";"";"";"";"";"Paléontologie";"";"";"";"";"";""
126;;"MENAT - MUSÉE DE MENAT";;;;;;;;;;;;"860";;;;;;;;;;;;"778";;;;;;;;;;;;"674";"60";"503";"563";;"411";;;;"152";"82";;"563";"";"Manuel, Billetterie manuelle";"non";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"1 à 4";"non";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Paléontologie";"";"";"";"";"";""
300;;"MONTAUBAN - MUSÉUM D\'HISTOIRE NATURELLE VICTOR BRUN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"7185";"1167";"8352";"0";"4773";;;;"3579";"2716";"599";"8352";"Très forte proportion des scolaires. Beaucoup de public gratuit car gratuité pour les - de 18 ans.";"Manuel, Billetterie manuelle";"non";"Si exposition temporaire hors les murs, comptage séparé. Si expositon panneau dans musée, pas possible de faire une séparation";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"1 à 4";"non";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Autre (archéologie (préhistoire))"
141;;"MONTBÉLIARD - MUSÉUM CUVIER";"15718";"7930";"23648";;"16727";;;;"6921";"3835";;"23648";"14757";"6131";"20888";;"15010";;;;"5878";"3663";;"20888";"15857";"1469";"17326";;"13571";;;;"3755";"2361";;"17326";"14587";"9724";"24311";;"19121";"1225";"14047";"8971";"5122";"3175";;"24243";"Il s'agit de la fréquentation de l'ensemble du château : la Galerie d'Histoire naturelle Cuvier n'est pas individualisée en terme de visiteurs ni de tarification";"Automatique, Billetterie informatisée";"non";"";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"1 à 4";"non";"";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Paléontologie";"";"";"";"";"";""
336;;"MURAT - MAISON DE LA FAUNE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"884";"7879";;;;;;;;;;"8763";"La Maison de la Faune connait une baisse de fréquentation considérable depuis quelques années.
";"Manuel, Billetterie manuelle";"non";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"non";"";"non";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
256;;"NANCY - MUSÉUM-AQUARIUM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"57962";"31221";"89183";;"89183";"2498";;;;;;"89183";"";"Billetterie manuelle, Automatique, Billetterie informatisée";"non";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"non";"";"non";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
18;;"NANTES - MUSÉUM";;;;;;;;;;"11000";;"89400";;;;;;;;;;"13000";;"75000";;;;;;;;;;"13300";;"84300";;;;;;;;;;;;;"";"Automatique, Billetterie informatisée";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
28;;"NICE - MUSÉUM D\'HISTOIRE NATURELLE";;;"11059";"168400";;;;;;;;"179459";;;"14363";"120695";;;;;;;;"135058";;;"7705";"28261";;;;;;;;"35966";"31323";;"31323";;"24498";;;;"31223";"6825";;"6825";"L'année 2011 a vu une chute importante des fréquentations du fait d'un net ralentissement de nos expositions hors les murs";"Manuel, Compteur à main";"non";"Les relevés sont faits manuellement par les agents d'accueil qui ensuite les enregistrent sur un logiciel dédié";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"20 à 49";"oui";"10 à 19";"10";"Botanique";"Systématique";"";"";"";"Zoologie";"Systématique";"";"";"";"";"Géologie";"";"Paléoécologie-environnement";"";"";"Paléontologie";"";"";"";"";"";""
146;;"NÎMES - MUSEUM";"40961";;"40961";;"26385";;;;"14576";"9205";;"40961";"55463";;"50469";"4994";"47768";;;;"7695";;;"55463";"60736";;"60736";"4466";;;;;;"8313";;;"45903";;"44353";"1550";"36927";;;;"8976";"8844";"132";"45903";"L'entrée générale est commune au muséum et au musée archéologique mais nos chiffres tiennent compte des entrées enregistrées dans nos salles";"Manuel, Billetterie manuelle";"oui";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"1 à 4";"oui";"1 à 4";"5";"";"";"";"";"";"Zoologie";"Systématique";"";"Écologie";"";"";"";"";"";"";"";"";"";"";"";"";"";"Autre ( Archéologie (Préhistoire))"
297;;"NIORT - MUSÉE BERNARD D\'AGESCI";;;;;;;;;;;;;"13580";"3500";;;;;;;;;;"17080";"9055";"3045";;;;;;;;;;"12100";"7467";"4463";"11930";;"4424";;;;"7506";"3660";"74";"11930";"";"Manuel, Billetterie manuelle, Billetterie informatisée";"non";"Billetterie informatisée depuis juin 2012.";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"non";"";"non";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
36;;"ORLÉANS - MUSÉUM";"42575";"18100";;;"23269";;;;"37414";"20120";;"60683";"40927";"19200";;;"21344";;;;"40271";"19876";;"60147";"39260";"25076";;;"27862";;;;"36474";"18295";;"64336";"85941";"10843";"56784";"40000";"60851";;;;"35933";"18580";;"96784";"";"Manuel, Billetterie manuelle";"oui";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"5 à 9";"non";"";"5";"Botanique";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Paléontologie";"";"";"";"";"";""
41;;"PERPIGNAN - MUSÉUM D\'HISTOIRE NATURELLE";"4995";"873";"5868";;"4472";;;;"1396";"1396";;"5868";"7605";"982";"8587";;"6926";;;;"1661";"1661";;"8587";"11685";"969";"12654";;"10107";;;;"2547";"2547";;"12654";;;;;;;;;;;;;"";"Manuel, Billetterie manuelle";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
151;;"ROUEN - MUSÉUM";"34943";"11014";"45957";"0";"35176";;;;"10781";"10142";;"45957";"23934";"7991";"31925";;"22570";;;;"9355";"8991";;"31925";"35639";"5522";"41161";;"26662";;;;"14499";"14280";;"41161";"32298";"6524";"38822";;"22250";"690";"18067";"3493";"16572";"16191";;"38822";"";"Automatique, Billetterie informatisée";"non";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"10 à 19";"oui";"1 à 4";;"";"";"";"";"";"Zoologie";"";"";"";"";"";"Géologie";"";"";"";"";"Paléontologie";"";"";"";"";"";""
46;;"SAINT-QUENTIN - MUSÉE DES PAPILLONS";"4149";"3906";;;;;;;;"2734";;"8055";"5193";"4116";"8709";"600";;;;;;"2974";;"9309";"6003";"4248";"9651";"600";;;;;;"2941";;"10251";"7373";"3888";"7717";"3544";"8792";"294";;;"2469";"2285";"184";"11261";"Bonne fréquentation notamment due à la participation à un évènement hors les murs : festival de la Bande Dessinée (3200 visiteurs).";"Manuel, Billetterie manuelle, Estimation";"non";"Le comptage manuel et certains tarifs appliqués à différentes catégories de publics rendent certaines données difficiles à extraire";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"non";"";"non";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
156;;"SAVIGNÉ-SUR-LATHAN - MUSÉE DU SAVIGNÉEN";;;;;;;;;;;;"1808";;;;;;;;;;;;"1570";;;;;;;;;;"1000";;"1355";"196";;"1654";;;;;;;;;"1654";"Majorité de scolaires";"Manuel, Billetterie manuelle";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"10 à 19";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Paléontologie";"";"";"";"";"";""
306;;"SEMUR-EN-AUXOIS - MUSEE MUNICIPAL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4252";"1027";"5279";;"2410";;;;"1880";"1397";"174";"5279";"";"Manuel";"oui";"";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"1 à 4";"oui";"1 à 4";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Paléontologie";"";"";"";"";"";""
315;;"STRASBOURG - MUSÉE ZOOLOGIQUE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"23428";"9496";"32924";;"22379";"671";"18575";"3133";"10545";"9388";"1157";"32924";"baisse de fréquentation, le musée n'a plus le droit de participer à la nuit des musées ou aux journées du patrimoine, ni de présenter de grandes expositions et ceci à cause de problèmes de sécurité";"Automatique, Billetterie informatisée";"oui";"";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"5 à 9";"oui";"1 à 4";"10";"";"";"";"";"";"Zoologie";"Systématique";"";"";"Avec prélèvement";"";"";"";"";"";"";"";"";"";"";"";"";""
52;;"TOULON - MUSÉUM D\'HISTOIRE NATURELLE DE TOULON ET DU VAR";;;;;;;;;;;;"20657";;;;;;;;;;;;"40800";;;;;;;;;;"1144";;"5200";"44288";"0";"44288";;"40730";;;;"3558";"2674";"884";"44288";"OUVERTURE DU NOUVEAU MUSEUM LE 21 JUIN 2011";"Manuel, Compteur à main";"non";"";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"1 à 4";"oui";"1 à 4";"3";"Botanique";"Systématique";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Paléontologie";"";"";"";"";"";""
61;;"TOULOUSE - MUSÉUM D\'HISTOIRE NATURELLE";"141325";"187888";"329213";;"296285";;;;"30337";"15457";;"329213";"83165";"127267";"201781";;"174818";;;;"22247";"12638";;"201781";"101954";"99910";"201864";;"173798";;;;"28066";"18494";;"201864";"86196";"109131";"195327";;"195327";"24357";"81731";"56140";"33099";"26017";"7082";;"La part de la Haute-Garonne diminue et se stabilise à hauteur de 50% des individuels. L'année 2011 a été une année exceptionnelle s'agissant de la fréquentation des étrangers notamment durant la période estivale.";"Automatique, Billetterie informatisée";"oui";"En 2010, l'évolution de la tarification a permis une distinction plus fine des parcours visiteurs, des catégories d'entrées sur les différents sites de l'établissement.";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"oui";"10 à 19";"oui";"50 et +";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Autre (non observé)"
77;;"TOURS - MUSÉUM D\'HISTOIRE NATURELLE";"15000";"9491";;;;;;;;"9641";;"24491";"15617";"10598";;;;;;;;"8335";;"26215";"15545";"9803";;;;;;;;"7585";;"25348";"19714";"7315";"27029";;"17698";;;;"9331";"9331";;"27029";"";"Manuel, Billetterie manuelle";"non";"";"oui";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"non";"";"non";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
83;;"TROYES - MUSÉUM";"6517";"3016";"9533";;"4977";;;;;;;"9533";"7987";"4001";"11988";;"7626";;;;;;;"11988";"8424";"3962";"12386";;"9821";;;;;;;"12386";;;;;;;;;;;;;"";"Manuel, Estimation";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
320;;"VACHÈRES - MUSÉE PIERRE MARTEL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"230";"770";"1000";;"700";"150";"250";"300";"300";"30";;"1000";"venus en groupe: 270 randonneurs, voyagistes";"Manuel, Billetterie manuelle";"non";"";"non";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"non";"";"non";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
88;;"VILLERS-SUR-MER - PALÉOSPACE L\'ODYSSÉE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
